id;x;y
1;3553751;6028609
2;3553442;6027416
3;3552502;6025080
4;3552518;6024799
5;3553799;6025130
6;3551621;6025247
7;3552492;6024471
8;3552513;6024130
9;3552561;6023834
10;3553374;6022853
11;3553382;6022793
12;3553464;6022761
13;3553286;6022859
14;3554733;6029644
15;3554638;6029430
16;3554378;6025162
17;3555831;6024456
18;3554889;6024147
19;3554927;6024207
20;3555171;6023954
21;3555244;6023986
22;3555407;6024141
23;3555649;6023912
24;3558286;6027811
25;3559432;6025652
26;3559569;6025747
27;3564049;6026829
28;3564505;6024060
29;3564189;6024064
30;3564065;6024094
31;3563977;6023009
32;3567480;6029098
33;3567266;6028537
34;3567319;6028460
35;3566721;6028433
36;3566710;6028365
37;3566644;6028322
38;3567096;6027605
39;3567730;6027652
40;3568196;6027491
41;3568299;6028890
42;3568101;6028769
43;3567839;6029618
44;3570061;6028062
45;3570585;6028115
46;3570252;6027774
47;3570188;6027692
48;3570312;6027589
49;3570233;6027570
50;3570297;6027528
51;3570307;6027401
52;3571701;6028139
53;3572614;6028875
54;3572535;6029409
55;3569681;6025326
56;3552705;6031698
57;3552152;6040085
58;3552401;6033522
59;3553451;6032588
60;3553603;6032586
61;3558686;6040236
62;3558348;6039903
63;3558425;6039878
64;3556686;6039370
65;3556326;6039635
66;3556435;6039949
67;3556129;6040166
68;3554403;6035865
69;3554851;6034904
70;3558479;6035480
71;3560079;6035563
72;3561500;6036489
73;3563228;6036782
74;3563395;6037085
75;3563407;6037099
76;3563503;6037151
77;3564845;6036879
78;3557020;6031499
79;3555536;6030327
80;3560056;6032012
81;3559374;6032743
82;3559394;6032824
83;3559610;6033436
84;3559416;6034081
85;3559466;6034167
86;3560778;6033962
87;3560933;6034158
88;3560476;6034401
89;3560955;6034320
90;3560998;6034246
91;3561038;6034219
92;3560324;6035530
93;3561952;6035287
94;3561149;6035197
95;3561243;6035204
96;3561596;6035267
97;3561720;6035271
98;3562970;6035170
99;3561686;6033998
100;3562930;6035001
101;3562934;6034945
102;3563125;6034929
103;3564668;6035212
104;3563623;6034610
105;3563735;6034567
106;3563906;6034473
107;3564054;6034522
108;3564084;6034351
109;3564369;6033940
110;3564664;6033692
111;3564754;6033557
112;3563045;6033103
113;3563105;6032080
114;3562894;6032003
115;3564387;6030796
116;3562394;6033380
117;3566666;6038370
118;3565002;6036856
119;3564917;6036792
120;3564864;6036702
121;3565182;6036909
122;3565348;6036901
123;3565457;6036999
124;3565507;6036909
125;3566454;6037015
126;3566843;6036986
127;3566367;6036951
128;3566267;6036848
129;3565859;6035951
130;3567198;6036560
131;3567510;6036295
132;3567515;6036210
133;3567899;6036030
134;3566941;6036044
135;3565063;6032461
136;3567097;6034586
137;3568029;6034657
138;3567726;6034141
139;3568394;6034033
140;3567670;6033198
141;3567630;6037719
142;3567418;6037412
143;3567281;6036843
144;3568529;6037653
145;3568310;6037052
146;3568434;6036790
147;3568775;6036875
148;3568336;6035721
149;3568445;6035696
150;3568442;6035398
151;3568416;6035292
152;3568514;6035102
153;3568389;6034661
154;3568638;6034681
155;3568958;6034475
156;3569037;6034422
157;3568799;6034369
158;3569528;6034360
159;3569848;6034919
160;3570090;6035105
161;3569847;6035195
162;3569765;6035359
163;3569144;6035657
164;3569138;6036398
165;3569204;6036420
166;3569088;6036263
167;3569649;6036473
168;3569709;6036480
169;3569732;6036793
170;3569713;6036855
171;3569692;6036852
172;3569652;6036847
173;3570668;6036389
174;3570623;6035772
175;3571880;6036548
176;3571970;6036693
177;3571901;6036677
178;3571840;6036738
179;3572533;6037159
180;3572184;6037395
181;3572409;6037861
182;3572404;6037940
183;3572441;6038006
184;3572462;6038099
185;3572079;6038141
186;3571603;6037612
187;3571188;6037649
188;3570428;6038106
189;3570744;6038650
190;3570660;6038718
191;3570502;6038747
192;3570073;6038596
193;3571109;6038962
194;3571441;6039636
195;3571732;6039421
196;3572110;6039399
197;3572085;6038675
198;3572726;6038911
199;3573389;6037912
200;3566502;6032061
201;3566530;6031965
202;3566940;6031849
203;3566980;6031798
204;3567445;6031608
205;3567882;6031391
206;3568416;6030729
207;3568395;6030674
208;3568437;6030626
209;3569898;6031894
210;3575221;6038545
211;3575600;6037736
212;3573100;6036965
213;3573097;6036915
214;3574801;6036756
215;3574854;6036722
216;3574915;6036690
217;3575185;6036627
218;3575272;6036624
219;3575354;6036645
220;3575603;6036505
221;3575089;6036428
222;3575499;6036113
223;3575509;6036067
224;3575521;6036052
225;3575515;6036031
226;3575561;6036015
227;3575630;6036005
228;3574587;6036163
229;3574682;6036127
230;3575559;6035605
231;3575530;6035522
232;3575048;6035623
233;3575089;6035353
234;3575067;6035317
235;3574430;6034647
236;3574225;6034681
237;3574243;6034562
238;3574167;6034469
239;3574104;6034411
240;3569982;6034474
241;3569320;6033888
242;3573693;6036224
243;3574162;6035988
244;3574037;6035811
245;3573617;6035118
246;3573926;6034859
247;3573794;6034816
248;3573649;6034089
249;3573828;6034116
250;3573871;6034170
251;3571780;6033237
252;3573446;6032817
253;3573482;6032812
254;3573849;6032896
255;3572161;6032536
256;3570537;6031887
257;3575054;6031836
258;3575565;6032886
259;3575935;6037698
260;3576271;6037577
261;3576295;6036608
262;3575691;6035865
263;3576305;6036053
264;3575652;6038456
265;3564430;6036536
266;3557738;6035180
267;3570389;6036914
