id;x;y
1;3553870;6028718
2;3553611;6028416
3;3553521;6027996
4;3553312;6027712
5;3553423;6027622
6;3553341;6027578
7;3553397;6027546
8;3553532;6027535
9;3553524;6027445
10;3553167;6027506
11;3551592;6026580
12;3551590;6026448
13;3551725;6026469
14;3551878;6026469
15;3551886;6026413
16;3552426;6026958
17;3552164;6026612
18;3552201;6026771
19;3552254;6026723
20;3552307;6026675
21;3552502;6026651
22;3552545;6026707
23;3552624;6026778
24;3552823;6026773
25;3552801;6026633
26;3552653;6025678
27;3552738;6025519
28;3552563;6025024
29;3552608;6024873
30;3553225;6025466
31;3553299;6025067
32;3553775;6024834
33;3551616;6025183
34;3551529;6024686
35;3551629;6024649
36;3551632;6024358
37;3551367;6024043
38;3551299;6024199
39;3551135;6024305
40;3550804;6024146
41;3551375;6022812
42;3551309;6022685
43;3552722;6024143
44;3552709;6023709
45;3552819;6023987
46;3552838;6023873
47;3553249;6023540
48;3553018;6023590
49;3553066;6023508
50;3553040;6023450
51;3552750;6023335
52;3552694;6023219
53;3552680;6023168
54;3552516;6023002
55;3552754;6022578
56;3552225;6022578
57;3554990;6030120
58;3555390;6030062
59;3554974;6029795
60;3554691;6029805
61;3554657;6029774
62;3554665;6029612
63;3554715;6029499
64;3554612;6029107
65;3554482;6028980
66;3554381;6028903
67;3554244;6028774
68;3554254;6029184
69;3554239;6029287
70;3555043;6028938
71;3554627;6025003
72;3554794;6024313
73;3555325;6024079
74;3555515;6024188
75;3555515;6024079
76;3555574;6023989
77;3555716;6024036
78;3555666;6024052
79;3555672;6024201
80;3556733;6024008
81;3555534;6022834
82;3559466;6025786
83;3563827;6027430
84;3564652;6025927
85;3564332;6024668
86;3556683;6024376
87;3557815;6023836
88;3557566;6023143
89;3557649;6022937
90;3557606;6022913
91;3557572;6022889
92;3557635;6022860
93;3557670;6022879
94;3557926;6022852
95;3557921;6022754
96;3558879;6022802
97;3567038;6029867
98;3567657;6029756
99;3567356;6029743
100;3567305;6029719
101;3567070;6029590
102;3567279;6029428
103;3566938;6027941
104;3566993;6027806
105;3566959;6026714
106;3566858;6026722
107;3565519;6027124
108;3567107;6024605
109;3567025;6024658
110;3566141;6023076
111;3566395;6023136
112;3566424;6022970
113;3566438;6022917
114;3566374;6022877
115;3566453;6022843
116;3566517;6022832
117;3566597;6022694
118;3568254;6026798
119;3569601;6029081
120;3568082;6028827
121;3568183;6029893
122;3571209;6028904
123;3570318;6027819
124;3570304;6027734
125;3572061;6028285
126;3573117;6029213
127;3572641;6029144
128;3573481;6030137
129;3569360;6025142
130;3569520;6025221
131;3568601;6024879
132;3568700;6025057
133;3568803;6025023
134;3568720;6024960
135;3551913;6031921
136;3551985;6031945
137;3552329;6032208
138;3552662;6031939
139;3552714;6031891
140;3552690;6031566
141;3552195;6031960
142;3552592;6031822
143;3552639;6031834
144;3552754;6031774
145;3552667;6031693
146;3552632;6031644
147;3552612;6031658
148;3552578;6031590
149;3552561;6031584
150;3552514;6031597
151;3552457;6031464
152;3552329;6031571
153;3552381;6031649
154;3552437;6031621
155;3552639;6031462
156;3552725;6031467
157;3551931;6030813
158;3552119;6030917
159;3552400;6030806
160;3552210;6030572
161;3552041;6030773
162;3551971;6030721
163;3551946;6030668
164;3552045;6030630
165;3551958;6030595
166;3551910;6030591
167;3551901;6030463
168;3551933;6030433
169;3552015;6030194
170;3551893;6030229
171;3551962;6030161
172;3551815;6030376
173;3551806;6030279
174;3551834;6030333
175;3551184;6031123
176;3551092;6031420
177;3551029;6031386
178;3551398;6040267
179;3550914;6037631
180;3551014;6037592
181;3551049;6037511
182;3551083;6037483
183;3551108;6037459
184;3551263;6037543
185;3550809;6037200
186;3550801;6037256
187;3551991;6036507
